Month,BU,Revenue,OpEx,EBITDA,EBITDA_pct,Budget_Revenue,Budget_EBITDA,Headcount,Region
Jan,Product A,4.2,2.1,2.1,50.0,4.0,2.0,42,EMEA
Jan,Product B,2.8,1.9,0.9,32.1,2.5,0.8,31,APAC
Jan,Product C,1.5,1.2,0.3,20.0,1.4,0.3,18,Americas
Feb,Product A,3.9,2.3,1.6,41.0,4.1,2.1,42,EMEA
Feb,Product B,3.1,2.0,1.1,35.5,2.8,1.0,33,APAC
Feb,Product C,1.4,1.3,0.1,7.1,1.5,0.3,18,Americas
Mar,Product A,5.1,2.4,2.7,52.9,4.5,2.3,45,EMEA
Mar,Product B,3.4,2.1,1.3,38.2,3.0,1.1,34,APAC
Mar,Product C,1.8,1.2,0.6,33.3,1.6,0.4,20,Americas
Apr,Product A,4.8,2.5,2.3,47.9,4.6,2.2,45,EMEA
Apr,Product B,3.6,2.2,1.4,38.9,3.1,1.2,35,APAC
Apr,Product C,2.0,1.3,0.7,35.0,1.8,0.5,21,Americas
May,Product A,5.4,2.6,2.8,51.9,5.0,2.5,47,EMEA
May,Product B,3.9,2.3,1.6,41.0,3.4,1.3,36,APAC
May,Product C,2.2,1.4,0.8,36.4,2.0,0.6,22,Americas
Jun,Product A,4.6,2.8,1.8,39.1,5.1,2.6,47,EMEA
Jun,Product B,3.7,2.5,1.2,32.4,3.5,1.4,37,APAC
Jun,Product C,2.1,1.6,0.5,23.8,2.1,0.6,22,Americas
Jul,Product A,5.8,2.7,3.1,53.4,5.3,2.7,49,EMEA
Jul,Product B,4.1,2.4,1.7,41.5,3.7,1.5,38,APAC
Jul,Product C,2.4,1.5,0.9,37.5,2.2,0.7,23,Americas
Aug,Product A,5.5,2.8,2.7,49.1,5.4,2.7,49,EMEA
Aug,Product B,4.0,2.5,1.5,37.5,3.8,1.5,39,APAC
Aug,Product C,2.3,1.6,0.7,30.4,2.3,0.7,24,Americas
Sep,Product A,6.1,2.9,3.2,52.5,5.6,2.8,51,EMEA
Sep,Product B,4.3,2.5,1.8,41.9,4.0,1.6,40,APAC
Sep,Product C,2.5,1.6,0.9,36.0,2.4,0.8,24,Americas
Oct,Product A,6.4,3.0,3.4,53.1,5.8,2.9,52,EMEA
Oct,Product B,4.5,2.6,1.9,42.2,4.1,1.7,41,APAC
Oct,Product C,2.7,1.7,1.0,37.0,2.5,0.8,25,Americas
Nov,Product A,6.8,3.1,3.7,54.4,6.0,3.0,53,EMEA
Nov,Product B,4.8,2.7,2.1,43.8,4.3,1.8,42,APAC
Nov,Product C,2.9,1.8,1.1,37.9,2.6,0.9,26,Americas
Dec,Product A,7.2,3.2,4.0,55.6,6.3,3.2,54,EMEA
Dec,Product B,5.1,2.8,2.3,45.1,4.5,1.9,43,APAC
Dec,Product C,3.1,1.9,1.2,38.7,2.8,1.0,27,Americas
